placeName,imageURL,description,address,province,latitude,longitude,openingHours,category,touristType,contact,entranceFee,socialMedia,highlight,travelInfo
หอเจ้าบ้าน,"https://source.unsplash.com/800x600/?ประวัติศาสตร์, วัฒนธรรม,กาฬสินธุ์,thailand",หอเจ้าบ้าน โบราณสถานอันเป็นที่เคารพศรัทธาของชาวเมืองกาฬสินธุ์ เชื่อกันว่าสร้างขึ้นพร้อมการก่อตั้งเมืองกาฬสินธุ์ตั้งแต่ครั้งเมื่อท้าวโสมพะมิตรได้อพยพชาวเมืองมาจากนครเวียงจันทน์ เพื่อตั้งเมืองแห่งใหม่คือเมืองกาฬสินธุ์ในปัจจุบัน หอเจ้าบ้านสร้างขึ้นเพื่อเป็นที่สถิตย์ของมเหสักข์และสิ่งศักดิ์สิทธิ์ตามความเชื่อของคนในสมัยนั้น และได้รับการบูรณะพัฒนามาในหลายยุคสมัยจนมีรูปแบบเป็นศาลาหลังคาทรงจั่วในปัจจุบัน,กาฬสินธุ์ เมืองกาฬสินธุ์,กาฬสินธุ์,16.4337303,103.5029453,nan,,"ประวัติศาสตร์, วัฒนธรรม",nan,nan,nan,nan,nan
วัดป่าศรีโพธิญาณ,"https://source.unsplash.com/800x600/?ศาสนสถาน, ประวัติศาสตร์, วัฒนธรรม,นครราชสีมา,thailand",เป็นวัดที่อยู่ติดกับเขื่อนลำพระเพลิง และมีองค์ประพุทธรูปขนาดใหญ่ซึ่งซ่อนตัวอยู่ท่ามกลางธรรมชาติอันงดงาม,หมู่ 9 - - 30150 นครราชสีมา ปักธงชัย เกษมทรัพย์,นครราชสีมา,14.5919374,101.8301674,ไม่มีเวลาเปิดปิด,,"ศาสนสถาน, ประวัติศาสตร์, วัฒนธรรม",081 876 3641,0.0 0.0 0.0 0.0,nan,มีองค์ประพุทธรูปขนาดใหญ่ซึ่งซ่อนตัวอยู่ท่ามกลางธรรมชาติอันงดงาม -,nan
สวนสามอังคารฟาร์ม,"https://source.unsplash.com/800x600/?สวนเกษตร, นันทนาการ,สกลนคร,thailand",สามอังคารฟาร์ม เป็นการทำเกษตรแบบสมัยใหม่ มีกระบวนการผลิตที่พิถีพิถันตั้งแต่การเพาะปลูก จนถึงการเก็บเกี่ยว พืชทุกชนิดปลูกในระบบโรงเรือนปิด ปลอดภัย รสชาติอร่อย มีการปลูกเมล่อนญี่ปุ่น มะเขือเทศองุ่นหวาน บัตเตอร์นัทสควอช ผักสลัดนานาชนิด ผู้บริโภคสามารถเข้าชมแปลงเพาะปลูกจริงได้ พร้อมทั้งบริการ เครื่องดืม ไอซ์กรีม มีจุดถ่ายภาพ และเยี่ยมชมสวนเมล่อน และมะเดื่อฝรั่ง เหมาะสำหรับเป็นที่พักผ่อนหย่อนใจสำหรับทุกเพศทุกวัย,"299 หมู่ 5 บ้าน หนอง ยาง - ถนน นา เว ง นา คำ, พังขว้าง, เมืองสกลนคร 47000 สกลนคร เมืองสกลนคร ขมิ้น",สกลนคร,17.168989,104.056688,08.00-18.00 น.,,"สวนเกษตร, นันทนาการ",087 946 5099 3angkarnfarm@gmail.com https://www.facebook.com/3angkarnfarm/,nan,nan,nan,nan
ไร่วิมุตติสุขภูเรือ,"https://source.unsplash.com/800x600/?ธรรมชาติ,เลย,thailand",เป็นแหล่งปลูกและโรงงานแปรรูปแมคคาเดเมียขนาดย่อม ทำสบู่จากถ่านกะละแมคคาเดเมีย น้ำมันแมคคาเดเมีย ถ่านอัดแท่งจากกะลาแมคคาเดเมีย ตั้งอยู่ท่ามกลางทะเลภูเขาและอากาศหนาวของอำเภอภูเรือ จังหวัดเลย,105 42160 เลย ภูเรือ,เลย,17.30666268,101.3863909,เปิดตลอด,,ธรรมชาติ,"081-544-2654 , 089-8405937 Sophita1986@gmail.com",nan,nan,"otop5ดาว,สุดยอดผลิตภัณฑ์SMEปี2561 และ รางวัลยอดเยี่ยมสาขาท่องเที่ยวชุมชน2562",nan
ผาหมวก-ผาหนอง,"https://source.unsplash.com/800x600/?จุดชมวิว, ธรรมชาติ,เลย,thailand",เป็นแหล่งท่องเที่ยวธรรมชาติ ชมพระอาทิตย์ขึ้น-ตก ชมทะเลหมอก และ ทิวทัศน์ อ.นาแห้ว,บ้านนาโพธิ์ เลย นาแห้ว,เลย,17.49289,101.0826146,nan,,"จุดชมวิว, ธรรมชาติ",nan,nan,nan,nan,nan
แพห้วยกระทิง,"https://source.unsplash.com/800x600/?ธรรมชาติ,เลย,thailand","อ่างเก็บน้ำห้วยกระทิง หรือเรียกอีกชื่อว่า อ่างเก็บน้ำห้วยน้ำหมานตอนบน มีพื้นที่ประมาณ 1,500 ไร่ เป็นแหล่งท่องเที่ยวทางธรรมชาติที่มีบรรยากาศล้อมรอบไปด้วยทัศนียภาพที่สวยงามของป่าไผ่ และภูเขาที่โอบล้อม ซึ่งจะมีแพของชาวบ้านให้เลือกใช้บริการกว่า 200 แพ ไว้สำหรับล่องเพื่อเป็นการพักผ่อนชมบรรยากาศพร้อมกับรับประทานอาหารเมนูพื้นบ้านหลากหลาย และในหน้าร้อนนักท่องเที่ยว จะนิยมไปเล่นน้ำคลายร้อนกันอีกด้วย",ม.1 - เลย - ด่านซ้าย 42000 เลย เมืองเลย,เลย,17.50225265,101.6009783,ทุกวัน 09.00-18.00 น.,,ธรรมชาติ,08 9276 3075,0.0 0.0 0.0 0.0,nan,nan,nan
พิพิธภัณฑ์หอยหิน 150 ล้านปี,"https://source.unsplash.com/800x600/?ประวัติศาสตร์, พิพิธภัณฑ์, วัฒนธรรม,หนองบัวลำภู,thailand",-พิพิธภัณฑ์หอยหิน 150 ล้านปีและไดโนเสาร์ ตั้งอยู่บ้านห้วยเดื่อ องค์การบริหารส่วนตำบลโนนทัน อำเภอเมือง จังหวัดหนองบัวลำภู ซึ่งเป็นเอกลักษณ์ และมรดกของจังหวัดหนองบัวลำภู มีการค้นพบฟอสซิลหอยกาบคู่อายุประมาณ 150 ล้านปี และฟอสซิลไดโนเสาร์ บรรพบุรุษ ที-เล็กซ์ อยู่ห่างจากตัวเมืองหนองบัวลำภูประมาณ 10 กิโลเมตร บนเส้นทางสายหลัก หนองบัวลำภู – อุดรธานี,10/10 หมู่ 6 บ้านห้วยเดื่อ 39000 หนองบัวลำภู เมืองหนองบัวลำภู,หนองบัวลำภู,17.243668,102.5134875,เปิดทุกวัน 08.30-16.30 น.,,"ประวัติศาสตร์, พิพิธภัณฑ์, วัฒนธรรม","0 4200 0048, 08 6852 8088 www.nongbualamphu.go.th",20.0 10.0 50.0 50.0,nan,nan,nan
พันโขดแสนไคร้,"https://source.unsplash.com/800x600/?จุดชมวิว, ธรรมชาติ,หนองคาย,thailand","""แม่น้ำโขง"" ที่ขนานไปกับถนนสาย 211 อำเภอสังคม จังหวัดหนองคาย-อำเภอปากชม จังหวัดเลย ตั้งแต่เขตบ้านห้วยค้อ บ้านหนอง บ้านภูเขาทอง และบ้านม่วง ตำบลบ้านม่วง อำเภอสังคม ในช่วงฤดูร้อน โดยเฉพาะช่วงเดือนเมษายน และเดือนพฤษภาคมของทุกปี ระดับน้ำในแม่น้ำโขงจะลดลง สามารถมองเห็นโขดหินโผล่ขึ้นจากแม่น้ำโขง ทั้งขนาดเล็กและขนาดใหญ่นับ 1,000 โขด ระยะทางยาวตามแม่น้ำโขงกว่า 5 กิโลเมตร นอกจากมีโขดหินที่สวยงามแล้ว ยังมีหาดทรายสีขาว ผสมผสานกับน้ำในแม่น้ำโขงที่เหมือนกระจกเงา ส่วนอีกฟากหนึ่งคือฝั่ง สปป.ลาวก็มีภูเขาเป็นเหมือนฉากหลัง มองไกลๆ เหมือนสวนหย่อมที่กว้างไกลสุดลูกหูลูกตา มีเรือหาปลาของชาวบ้านที่ให้บริการล่องเรือเพื่อชมความงามของโขดหินเหล่านี้อย่างใกล้ชิด """"พันโขดแสนไคร้"""" เริ่มเป็นที่รู้จักของนักท่องเที่ยวที่ต้องการสัมผัสความงามของธรรมชาติ เมื่อปี 2556 ที่ผ่านมา มีการส่งภาพความสวยงามผ่านโซเชียลเน็ตเวิร์กกัน ทำให้นักท่องเที่ยวเริ่มเข้ามาสัมผัสความสวยงามกันเพิ่มมากขึ้น หลายคนได้ยกให้เป็น """"แกรนด์แคนยอนกลางแม่น้ำโขง"""" ไฮไลต์อีกอย่างก็คือ ก้อนหินภายในพันโขดแสนไคร้ มีความแตกต่างกัน มีหลากหลายสี โดยเฉพาะหินสีดำนิลที่มีความมันวาว แข็งแกร่ง และสวยงามมาก โขดหินในแม่น้ำโขงที่อยู่ในเขตพื้นที่ของแต่ละบ้านทั้ง4 หมู่บ้าน ในอำเภอสังคม จังหวัดหนองคาย มีความแตกต่างกัน คือในเขตของบ้านม่วง จะมีลักษณะการเกิดขึ้นของโขดหินแต่ละโขดห่างกัน พอเข้าเขตบ้านภูเขาทอง โขดหินก็จะถี่ขึ้น ส่วนโขดหินในเขตของบ้านหนอง ก็จะมีลักษณะคล้ายสวนหย่อม เป็นโขดเล็กๆ และมีหาดทราย และสุดท้ายในเขตของบ้านห้วยค้อ จะมีโขดหินน้อย แต่มีพื้นที่ที่เป็นหาดทรายมากกว่าทุกจุด และมีต้นไคร้มากกว่าทุกจุด รวมไปถึงบรรยากาศของทั้ง 4 หมู่บ้านก็แตกต่างกันด้วย """"พันโขดแสนไคร้"""" หรือ """"แกรนด์แคนยอน กลางแม่น้ำโขง"""" จะเป็นจุดท่องเที่ยวที่มีพื้นที่กว้างใหญ่ที่สุดของอำเภอสังคม และของจังหวัดหนองคายซึ่งโขดหินที่มีความสวยงามเช่นนี้มีที่อำเภอสังคม จังหวัดหนองคาย เพียงแห่งเดียว ในส่วนของนักท่องเที่ยวที่ต้องการสัมผัสความงามของพันโขดแสนไคร้ ชาวบ้านที่มีอาชีพประมงก็มีการรวมตัวกันนำเรือมาให้บริการ คิดค่าโดยสาร 300 บาท/ลำ มีจุดขึ้นเรือ 3 จุด คือที่บ้านหนอง บ้านกุดแห่ และที่บ้านภูเขาทอง ซึ่งในเรื่องของความปลอดภัยนั้นเราให้ความสำคัญมากเป็นพิเศษ นักท่องเที่ยวทุกคนต้องสวมเสื้อชูชีพที่ อบต.บ้านม่วงจัดไว้ ขณะเที่ยวชมห้ามยืนบนเรืออย่างเด็ดขาด และที่สำคัญจะไม่นั่งเกินความจุของเรือแต่ละลำ คือ 3-4 คน/ลำเท่านั้น"""" นั่นคือมาตรการดูแลความปลอดภัยสำหรับแขกผู้มาเยือน",หมู่ 2 บ้านม่วง เลียบแม่น้ำโขง 43160 หนองคาย สังคม บ้านม่วง,หนองคาย,18.2095179,102.1355257,ทุกวัน 07.00-17.00 น.,,"จุดชมวิว, ธรรมชาติ","0 4241 4871 08 8572 2618,08 5454 6606 https://thai.tourismthailand.org/Attraction/%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B9%82%E0%B8%82%E0%B8%94%E",0.0 0.0 0.0 0.0,nan,nan,nan
ภูทอก เลย,"https://source.unsplash.com/800x600/?จุดชมวิว, ธรรมชาติ,เลย,thailand",จุดชมวิวทะเลหมอกที่มีชื่อเสียงและเป็นที่นิยมของนักท่องเที่ยว ที่มาเที่ยวเชียงคาน มีลักษณะเป็นภูเขาสูง ตั้งอยู่ริมแม่น้ำโขง บนยอดภูเป็นที่ตั้งของสถานีโทรคมนาคมเชียงคาน และเป็นจุดชมวิวทิวทิวทัศน์ที่สวยงาม ของอำเภอเชียงคาน และลำน้ำโขงได้โดยรอบ ตั้งอยู่บนถนนสายเดียวกันกับแก่งคุดคู้ซึ่งห่างจาก ตัวอำเภอ เชียงคานประมาณ 3 กิโลเมตร ใครที่ได้แวะมาเที่ยวเชียงคาน ไม่ควรพลาดการไปชมทะเลหมอกในยามเช้าที่นี่ นอกจากนี้ภูทอกยังเป็นจุดชมวิวชมความงามของแม่น้ำโขง เมืองสานะคาม และแก่งคุดคู้ได้อย่างชัดเจน ส่วนทะเลหมอกนั้นจะเจอมากน้อยหรืออาจจะไม่เจอเลย ขึ้นอยู่กับสภาพอากาศในแต่ละวัน,หมู่ 2 บ้านเชียงดาน - ปากชม-เชียงคาน 42110 เลย เชียงคาน เขาแก้ว,เลย,17.8691666,101.6819444,ทุกวัน 05.00-18.00 น.,,"จุดชมวิว, ธรรมชาติ","0 4281 1405, 0 4281 2812 / 0 4282 1664",25.0 25.0 25.0 25.0,nan,-,nan
ภูผาดัก,"https://source.unsplash.com/800x600/?จุดชมวิว, ธรรมชาติ,หนองคาย,thailand",ภูผาดัก ตั้งอยู่ ต.บ้านม่วง อ. สังคม จ.หนองคาย แหล่งท่องเที่ยวทางธรรมชาติที่นักท่องเที่ยวนิยมเดินทางมาสัมผัสอากาศหนาว ชมทะเลหมอกที่สามารถมองเห็นวิวทิวทัศน์ที่ล้อมด้วยภูเขา ต้นไม้ สามารถมองเห็นแม่น้ำโขงและฝั่งประเทศ สปป.ลาว เมื่อพระอาทิตย์ขึ้นยามเช้านักท่องเที่ยวจะเห็นทะเลหมอกแสงพระอาทิตย์กระทบน้ำโขงทำให้นักท่องเที่ยวนิยมมาท่องเที่ยวในช่วงหน้าหนาวของทุกปี โดยเสน่ห์อีกอย่างหนึ่งคือนักท่องเที่ยวจะต้องนั่งรถแต็ก(รถใช้ในการเกษตร) และเดินขึ้นเขาเพื่อทดสอบกำลังใจก่อนที่จะได้ชมหมอกที่สวยงาม,หมู่ 2 บ้านม่วง 43160 หนองคาย สังคม บ้านม่วง,หนองคาย,18.1941667,102.1536111,ทุกวัน 05.00-16.00 น.,,"จุดชมวิว, ธรรมชาติ","08 6186 9422, 0 4241 4872  087-2195500 ,089-7694856 https://travel.trueid.net/detail/JOyPqJX5Pk8L",0.0 0.0 0.0 0.0,nan,nan,nan
สวนน้ำทะเลเลย,"https://source.unsplash.com/800x600/?สวนเกษตร, นันทนาการ,เลย,thailand",เป็นสวนน้ำที่ตั้งอยู่ในใจกลางเมืองเลย มีสระขนาดมาตรฐานสำหรับเด็กและผู้ใหญ่ และสไลเดอร์ให้ได้สนุกสนานกัน การันตีความมันส์... เป็นสถานที่พักผ่อนสำหรับครอบครัว ได้ทั้งออกกำลังกาย ว่ายน้ำคลายร้อน และยังมีอาหารอร่อย พร้อมทั้งเครื่องดื่มไว้คอยบริการ อีกทั้งยังรับสอนว่ายน้ำอีกด้วย,- มลิวรรณ 42000 เลย เมืองเลย,เลย,17.4920074,101.7226736,"09.30-19.00 น.
ปิดทุกวันวันอังคาร",,"สวนเกษตร, นันทนาการ","099-0959540, 086-2356306, 081-7298067 www.facebook.com/thalaelioei",80.0 70.0 80.0 70.0,nan,nan,nan
หมู่บ้านท่องเที่ยวเชิงอนุรักษ์บ้านหนองหล่ม,"https://source.unsplash.com/800x600/?ประวัติศาสตร์, นันทนาการ, วัฒนธรรม, ธรรมชาติ,มุกดาหาร,thailand",เป็นหมู่บ้านเพื่อการท่องเที่ยวของจังหวัดมุกดาหาร สัมผัสวิถีภูไท สายน้ำ วัฒนธรรมสองฝั่งโขง บรรพบุรุษบ้านหนองหล่ม เดิมตั้งถิ่นฐานอยู่ที่เมืองวังอ่างคำ สปป.ลาว เมื่อเกิดความแห้งแล้ง จึงได้มีการอพยพมาที่ห้วยหนองหล่มซึ่งเต็มไปด้วยความอุดมสมบูรณ์ มีทั้งป่าไม้ มีน้ำไหลตลอดปี จึงตั้งชื่อหมู่บ้านตามแหล่งน้ำที่อาศัยว่า “บ้านหนองหล่ม” หมู่บ้านนี้ตั้งอยู่บริเวณริมฝั่งแม่น้ำโขง จึงมีทัศนียภาพริมฝั่งโขงที่สวยงาม สามารถล่องเรือชมทัศนียภาพสองฝั่งโขงได้ อีกทั้งยังสามารถชมการเกษตรบนเกาะแก่งกลางแม่น้ำโขง มีที่พักแบบโฮมสเตย์ไว้คอยบริการอีกด้วย มีกิจกรรมท่องเที่ยวที่น่าสนใจอาทิ ชมพิพิธภัณฑ์พื้นบ้าน พิธีบายศรีสู่ขวัญ การแสดงลำผญา ล่องเรือชมทัศนียภาพและวิถีชีวิตชาวประมงริมฝั่งโขง การทำผ้าห่มทอมือ การทอผ้าขาวม้าที่มีลวดลายหลากหลายสวยงาม,46 หมู่ 3 บ้านหนองหล่ม 49120 มุกดาหาร ดอนตาล ดอนตาล,มุกดาหาร,16.4063118,104.8604283,ทุกวัน 08.00-17.00 น.,,"ประวัติศาสตร์, นันทนาการ, วัฒนธรรม, ธรรมชาติ","08 3679 1878, 0 4204 0173 www.facebook.com/bannhonglom",0.0 0.0 0.0 0.0,nan,nan,nan
วนอุทยานดงบังอี่,"https://source.unsplash.com/800x600/?อุทยานแห่งชาติ, ธรรมชาติ,มุกดาหาร,thailand","วนอุทยานดงบังอี่ตั้งอยู่ในเขตป่าสงวนแห่งชาติป่าดงบังอี่ ประกาศเป็นป่าสงวนแห่งชาติเมื่อวันที่ 21 พฤศจิกายน 2515 กรมป่าไม้ดำเนินการจัดตั้งเมื่อวันที่ 8 สิงหาคม 2538 มีเนื้อที่ 1,300 ไร่ สภาพทั่วไปเป็นเทือกภูเขาหิน มีระดับความสูงโดยประมาณ 500 - 600 เมตร จากระดับน้ำทะเล ตามภูเขามีถ้ำอยู่หลายแห่ง มีไม้ขึ้นตามเชิงเขาเป็นลักษณะไม้ขนาดเล็กอยู่รอบเชิงเขา สำหรับบนเขาเป็นป่าเบญจพรรณและป่าดิบเขาอยู่เป็นบางกลุ่ม ซึ่งเป็นแหล่งต้นน้ำลำธารของห้วยดงบังอี่ ไม้ส่วนใหญ่จะมีขนาดกลาง - เล็ก พรรณไม้ที่สำคัญมีคุณค่าทางเศรษฐกิจ ได้แก่ ไม้ตะแบก ไม้โมก ไม้มะค่า ไม้พยุง ไม้เข็ง ไม้งิ้วป่า ไม้ตะเคียน ไม้สะตอป่า ไม้พื้นล่าง ได้แก่ ไผ่ลวก ไผ่โจท ไผ่ไร่ สัตว์ป่าที่พอจะได้พบเห็นอยู่บ้างในปัจจุบันมีจำพวกนกตะขาบ นกอีจู้ นกปลอด นกกางเขนดง กระรอก กระแต พังพอน ตุ่น กิ้งก่า แย้ งู",หมู่ 8 บ้านด่านยาว ด่านยาวภูแผงม้า 49130 มุกดาหาร นิคมคำสร้อย กกแดง,มุกดาหาร,16.3567537,104.5287297,ทุกวัน 08.00-17.00 น.,,"อุทยานแห่งชาติ, ธรรมชาติ",08 7868 7437 http://park.dnp.go.th/visitor/nationparkshow.php?PTA_CODE=4031,0.0 0.0 0.0 0.0,nan,nan,nan
ดิกชั่นนารี่ พาร์ค มหาสารคาม,"https://source.unsplash.com/800x600/?สวนเกษตร, นันทนาการ,มหาสารคาม,thailand",แหล่งเรียนรู้ แหล่งทำกิจกรรม สนุกสนานด้วยสวยน้ำ เครื่องเล่น แฝงด้วยการได้เรียนรู้ คำศัพท์ภาษาอังกฤษ โดยการสัมผัสด้วยมือ เห็นด้วยตา ได้ยิน และเรียนรู้ภาษาอังกฤษผ่านสถานที่แห่งนี้,44170 มหาสารคาม นาเชือก เขวาไร่,มหาสารคาม,15.8032317,103.0285979,ทุกวัน 09.00-20.00 น.,,"สวนเกษตร, นันทนาการ","0 4377 9567, 08 7638 1011 dictionarymahasarakham@gmail.com",0.0 0.0 0.0 0.0,https://www.facebook.com/Dictionarypark/?locale=th_TH,nan,nan
เขาใหญ่ แฟนตาซี รีสอร์ท,"https://source.unsplash.com/800x600/?พิพิธภัณฑ์, สวนเกษตร, นันทนาการ,นครราชสีมา,thailand",ทุกห้องพักตกแต่งโดยเน้นความโปร่ง โล่ง บ้านทรงโดม ขนาด 45 ตารางเมตร เพดานสูง แห่งแรก และแห่งเดียวในเมืองไทย ให้ความสะดวกสบาย หรูหรา พร้อมสิ่งอำนวยความสะดวก ครบครัน,421 หมู่ 1 ธนะรัชต์ 30130 นครราชสีมา ปากช่อง กลางดง,นครราชสีมา,14.6057036,101.3606271,กิจกรรม 08.00-17.00 น./ห้องพัก 06.00-23.00 น.,,"พิพิธภัณฑ์, สวนเกษตร, นันทนาการ","08 8504 9991-3, 08 7694 3725 khaoyaifantasy@yahoo.com www.Khaoyaifantasy.com",0.0 0.0 0.0 0.0,nan,nan,nan
ศูนย์รวมไม้ดัดบ้านแข้,"https://source.unsplash.com/800x600/?ประวัติศาสตร์, นันทนาการ, วัฒนธรรม, ธรรมชาติ,ชัยภูมิ,thailand",อยู่บนทางหลวงหมายเลข 201 จากตัวเมืองชัยภูมิก่อนถึงอำเภอภูเขียวประมาณ 1 กม. สองข้างทางจะเป็นแหล่งจำหน่ายไม้ดัด ซึ่งเป็นไม้ประดับที่สวยงามมาก เป็นอาชีพของชาวบ้านแคร่โดยเฉพาะ โดยนำไม้ประเภทข่อย มะสัง ตะโก จากในป่าลึกๆ นำมาดัดให้เป็นรูปทรงที่สวยงาม และจำหน่ายในราคาที่ย่อมเยาว์แก่นักเดินทางที่ผ่านไปมา เพื่อนำมาประดับบ้าน,36110 ชัยภูมิ ภูเขียว กวางโจน,ชัยภูมิ,16.35839413,102.1488946,08.00-18.00น.,,"ประวัติศาสตร์, นันทนาการ, วัฒนธรรม, ธรรมชาติ",04421 3030,0.0 0.0 0.0 0.0,nan,nan,nan
ศาลเจ้าพ่อตาดโตน,"https://source.unsplash.com/800x600/?ศาสนสถาน, ประวัติศาสตร์, วัฒนธรรม,ชัยภูมิ,thailand",ตั้งอยู่ในบริเวณน้ำตกตาดโตน เป็นสถานที่ศักดิ์สิทธิ์แห่งหนึ่งในเขตอุทยานแห่งชาติตาดโตน ซึ่งชาวจังหวัดชัยภูมิและจังหวัดใกล้เคียงเคารพนับถือ ประวัติเล่าว่า ปู่ด้วง ท่านเป็นคนเชื้อสายเขมร ดำเนินชีวิตอยู่ในยุคเดียวกับเจ้าพ่อพญาแล,36000 ชัยภูมิ เมืองชัยภูมิ กุดตุ้ม,ชัยภูมิ,15.9812813,102.0350194,เปิดทุกวัน,,"ศาสนสถาน, ประวัติศาสตร์, วัฒนธรรม",04421 3030,0.0 0.0 0.0 0.0,nan,nan,nan
วัดศิริพงษาวาส,"https://source.unsplash.com/800x600/?ศาสนสถาน, ประวัติศาสตร์, วัฒนธรรม,ชัยภูมิ,thailand",วัดศิริพงษาวาสเป็นวัดที่มีความสวยงาม สงบ ร่มรื่น มีสถาปัตยกรรมที่สวยงาม ตั้งอยู่ที่ตำบลบ้านกอก อำเภอจัตุรัส ตั้งเมื่อ พ.ศ.๒๕๑๔ ได้รับพระราชทานวิสุงคามสีมา พ.ศ.๒๕๑๘ มีอุโบสถเป็นรูปเจดีย์ เรียกว่า พระธาตุเจดีย์ ศิริมหามงคล,3/1 201 ชัยภูมิ-สีคิ้ว 36130 ชัยภูมิ จัตุรัส กุดน้ำใส,ชัยภูมิ,15.5621522,101.8505161,ทุกวัน เวลา 06.00 -18.00 น.,,"ศาสนสถาน, ประวัติศาสตร์, วัฒนธรรม",093 073 3256 www.watsiriphongsawas.com,0.0 0.0 0.0 0.0,nan,nan,nan
วัดป่าห้วยกุ่ม,"https://source.unsplash.com/800x600/?ศาสนสถาน, ประวัติศาสตร์, วัฒนธรรม,ชัยภูมิ,thailand",แวดล้อมไปด้วยต้นไม้ สภาพโดยทั่วไปยังไม่มีสิ่งอำนวยความสะดวกมากนัก เหมาะแก่การฝึกจิตและนั่งวิปัสนาธรรมโดยแท้จริง,36120 ชัยภูมิ เกษตรสมบูรณ์ กุดเลาะ,ชัยภูมิ,16.4311872,101.806895,เปิดทุกวัน,,"ศาสนสถาน, ประวัติศาสตร์, วัฒนธรรม",0 4412 9081,0.0 0.0 0.0 0.0,nan,nan,nan
วัดชัยภูมิพิทักษ์,"https://source.unsplash.com/800x600/?ศาสนสถาน, ประวัติศาสตร์, วัฒนธรรม,ชัยภูมิ,thailand",“พระพุทธชัยภูมิพิทักษ์” วัดชัยภูมิพิทักษ์ (วัดผาเกิ้ง) บ้านนาคานหัก ต.กุดชุมแสง อ.หนองบัวแดง จ.ชัยภูมิ สร้างขึ้นเมื่อ พ.ศ.2512 โดย นายประมูล ศรัทธาทิพย์ ผู้ว่าราชการจังหวัดชัยภูมิ ในขณะนั้น มองเห็นพื้นที่บริเวณผาเกิ้งมีบรรยากาศร่มรื่น จึงคิดที่จะอนุรักษ์และพัฒนาให้เป็นพื้นที่อุทยาน โดยสร้างพระพุทธรูปปางประทานพร ยืนตระหง่านเป็นศรีสง่า ประดิษฐานอยู่ที่หน้าผาเกิ้ง ซึ่งเป็นหน้าผาที่มีความสำคัญทางประวัติศาสตร์ของอำเภอหนองบัวแดง,หมู่ 1 บ้านนาคานหัก ชัยภูมิ-หนองบัวแดง 36210 ชัยภูมิ หนองบัวแดง,ชัยภูมิ,16.00448815,101.8917962,08.00-17.00น.,,"ศาสนสถาน, ประวัติศาสตร์, วัฒนธรรม","044-829-048, 081-760-4886",0.0 0.0 0.0 0.0,nan,nan,nan
บึงละหาน,"https://source.unsplash.com/800x600/?ธรรมชาติ,ชัยภูมิ,thailand",บึงละหานเป็นบึงตื้นที่มีขนาดใหญ่ เป็นที่ลุ่มรองรับน้ำจากลำคันฉู โดยมีห้วยต่างๆ เช่น ห้วยกอก ห้วยหลัวเป็นทางน้ำเข้าสู่บึงละหานและ ไหลลงสู่แม่น้ำชี ในฤดูแล้งบึงจะแห้งมีเพียงตอนใต้ของบึงที่มีน้ำขังตลอดปี ความลึกที่สุดของบึงประมาณ 1.5 เมตร กลางบึงมีเกาะ ขนาดประมาณ 0.3 ตารางกิโลเมตร (187.5 ไร่) มีป่าละเมาะ พื้นที่โดยรอบบึงละหานจะมี ีลักษณะราบเรียบถึงค่อนข้างเรียบลักษณะดินโดยรอบเป็นดินที่เกิดจากการตกตะกอนทับถมของตะกอนลำน้ำ,บ้านมะเกลือ 36130 ชัยภูมิ จัตุรัส กุดน้ำใส,ชัยภูมิ,15.62343241,101.8947231,เปิดทุกวัน เวลา 06.00-18.00 น.,,ธรรมชาติ,044 840 578-16 http://www.tumbonlahan.go.th/,0.0 0.0 0.0 0.0,nan,nan,nan
บ้านตาดโตนโฮมสเตย์,"https://source.unsplash.com/800x600/?ประวัติศาสตร์, ชุมชนท่องเที่ยว, วัฒนธรรม,ชัยภูมิ,thailand",บ้านตาดโตน ตั้งชื่อตามเสียงประหลาดที่อยู่บนเขา มีตำนานเล่าว่า พอเข้าถึงฤดูฝนเข้าฤดูกาลทำนา ฝนได้ตกลงมาบนภูเขาอย่างหนัก พอฝนหยุดตกนานประมาณ 2 - 3 ชั่วโมง ก็ได้เกิดเสียงประหลาดเกิดขึ้นอยู่บนภูเขา เกิดเสียงดัง ครื้น ๆ จนได้ยินชัดเจนมาก พอรุ่งเช้า ชาวบ้านได้ออกเดินทางตามลำห้วยประทาวขึ้นไปตามเสียงที่ดังครื้น ๆ มาจากบนเขา เดินขึ้นไปถึงหน้าผาชันมีน้ำตกจากหน้าผากระทบสู่ชั้นล่าง จึงทำให้เกิดเสียงดัง ซึ่งเป็นที่มาของเสียงนั่นคือ น้ำตกตาดโตน เลยตั้งชื่อว่าบ้านตาดโตน,199 หมู่ 1 บ้านตาดโตน 36000 ชัยภูมิ เมืองชัยภูมิ,ชัยภูมิ,15.98128065,102.0350174,ทำการทุกวัน เวลา 00:00-24:00,,"ประวัติศาสตร์, ชุมชนท่องเที่ยว, วัฒนธรรม",0 4485 3389 tadtonhomestay@gmail.com www.tadtionhomestay.com,0.0 0.0 0.0 0.0,nan,nan,nan
